scenario,repetition,run_id,state,expected_state,duration_seconds,records_received,analyzed_projects,correctly_handled_projects,project_denominator,expected_problems,detected_problems,true_alerts,false_alerts,missed_alerts,incorrect_released_classifications,silent_errors,passed
normal,1,20260918T184315_1190f41990ec4fc18efc12293866ac4f,completed,completed,0.1790706999890972,6,3,3,3,0,0,0,0,0,0,0,True
source_unavailable,1,20260918T184316_857601de7cef40f0be00df16e7fca605,completed,completed,0.07923549998668022,6,3,3,3,0,0,0,0,0,0,0,True
stale_contingency,1,20260918T184316_90c0e72ed36148499309656476763de0,provisional,provisional,0.07738760000211187,6,3,3,3,0,0,0,0,0,0,0,True
unknown_contingency,1,20260918T184316_7231191795014c608d6303eca414e58a,provisional,provisional,0.08650090001174249,6,3,3,3,0,0,0,0,0,0,0,True
missing_column,1,20260918T184316_589afcf2697e47bdbf59bacbb53ca88b,blocked,blocked,0.07561930001247674,6,0,3,3,4,4,4,0,0,0,0,True
invalid_numeric,1,20260918T184316_6931b287e6114b1abe0fe49f7104f342,provisional,provisional,0.07744920000550337,6,2,3,3,2,2,2,0,0,0,0,True
missing_key,1,20260918T184316_576443a8f67841a78885c3c1d303a470,provisional,provisional,0.07696459998260252,6,2,3,3,2,2,2,0,0,0,0,True
conflicting_duplicates,1,20260918T184316_02fb2c69993a41bfa74cae735649eccb,provisional,provisional,0.08051859997794963,7,2,3,3,2,2,2,0,0,0,0,True
unmatched,1,20260918T184316_8d75db408e4c40d6a72794b8b51900a0,provisional,provisional,0.08682169998064637,5,2,3,3,1,1,1,0,0,0,0,True
zero_denominator,1,20260918T184316_db7a4b61895e45e8b9fa0e311ae45c76,provisional,provisional,0.0818666000268422,6,2,3,3,2,2,2,0,0,0,0,True
normal,2,20260918T184317_279d59d38f3d4d99bf511311e4e506eb,completed,completed,0.08138760001747869,6,3,3,3,0,0,0,0,0,0,0,True
source_unavailable,2,20260918T184317_1463d52da42b46938204b6c551cb8a20,completed,completed,0.08849349999218248,6,3,3,3,0,0,0,0,0,0,0,True
stale_contingency,2,20260918T184317_73a72683aa094379a53b4e5a663d3684,provisional,provisional,0.08134839998092502,6,3,3,3,0,0,0,0,0,0,0,True
unknown_contingency,2,20260918T184317_bdd4e8aa2e96473cae8d6a84131df205,provisional,provisional,0.08222420001402497,6,3,3,3,0,0,0,0,0,0,0,True
missing_column,2,20260918T184317_e8ce0da5cdf74cb1b01097b249cccb7d,blocked,blocked,0.07379979998222552,6,0,3,3,4,4,4,0,0,0,0,True
invalid_numeric,2,20260918T184317_1ad3acb33da24435bd7564972fb74d9c,provisional,provisional,0.07586119999177754,6,2,3,3,2,2,2,0,0,0,0,True
missing_key,2,20260918T184317_7a3394d3d6d94300903d628420954c2b,provisional,provisional,0.07804260001285002,6,2,3,3,2,2,2,0,0,0,0,True
conflicting_duplicates,2,20260918T184317_3302c3776fae4e688b586899dfa12d0d,provisional,provisional,0.08292200000141747,7,2,3,3,2,2,2,0,0,0,0,True
unmatched,2,20260918T184317_da5681aee6df48aba66254bae95df25f,provisional,provisional,0.07553729999926873,5,2,3,3,1,1,1,0,0,0,0,True
zero_denominator,2,20260918T184317_cedad5090a8f448fbcba5d886343a4a2,provisional,provisional,0.08019569999305531,6,2,3,3,2,2,2,0,0,0,0,True
normal,3,20260918T184317_e8cfa1878250493f90665b70f79db305,completed,completed,0.07836539999698289,6,3,3,3,0,0,0,0,0,0,0,True
source_unavailable,3,20260918T184318_ba8437a1c66943b59ed9dc2599600d02,completed,completed,0.0811868000018876,6,3,3,3,0,0,0,0,0,0,0,True
stale_contingency,3,20260918T184318_d85cc53f77d04e11978c353cc221b932,provisional,provisional,0.07835769999655895,6,3,3,3,0,0,0,0,0,0,0,True
unknown_contingency,3,20260918T184318_94cc88cfa4854fcb975dd8b23c940403,provisional,provisional,0.11406849999912083,6,3,3,3,0,0,0,0,0,0,0,True
missing_column,3,20260918T184318_dfe5d7bb3a6a486cb09e4e0159c0af07,blocked,blocked,0.07314379999297671,6,0,3,3,4,4,4,0,0,0,0,True
invalid_numeric,3,20260918T184318_fe3b7147fcca47ca98194c72b6bcbf51,provisional,provisional,0.07463459999416955,6,2,3,3,2,2,2,0,0,0,0,True
missing_key,3,20260918T184318_2a6f1c17e51349129c38d9ff82f89069,provisional,provisional,0.07611329999053851,6,2,3,3,2,2,2,0,0,0,0,True
conflicting_duplicates,3,20260918T184318_6e0bf4475537405bbd48069cf06ac8a0,provisional,provisional,0.07570699998177588,7,2,3,3,2,2,2,0,0,0,0,True
unmatched,3,20260918T184318_44d57ab6f3ae42cdb51afa7d3ad26b08,provisional,provisional,0.08068389998516068,5,2,3,3,1,1,1,0,0,0,0,True
zero_denominator,3,20260918T184318_75515c09cf104118b1f23a084da67a99,provisional,provisional,0.08190570000442676,6,2,3,3,2,2,2,0,0,0,0,True
